site	habitat	treatment	sample id	family	quantity
El Medano	sand	C	M_S_C_4	Ostracoda	2
El Medano	sand	C	M_S_C_4	Actiniaria	3
El Medano	sand	C	M_S_C_4	Onuphidae	2
El Medano	sand	C	M_S_C_4	Cerithiopsidae	2
El Medano	sand	C	M_S_C_4	Nassariidae	1
El Medano	sand	OP	M_S_OP_3	Ostracoda	1
El Medano	sand	OP	M_S_OP_3	Nassariidae	2
El Medano	sand	OP	M_S_OP_3	Gammaridea	1
El Medano	sand	C	M_S_C_2	Actiniaria	4
El Medano	sand	C	M_S_C_2	Apseudidae	3
El Medano	sand	C	M_S_C_2	Onuphidae	4
El Medano	sand	C	M_S_C_2	Ostracoda	3
El Medano	sand	C	M_S_C_2	Nereididae	5
El Medano	sand	C	M_S_C_2	Aphroditidae	1
El Medano	sand	C	M_S_C_2	Rissoidae	1
El Medano	sand	C	M_S_C_2	Cardiidae	1
El Medano	sand	C	M_S_C_2	Cerithiopsidae	1
El Medano	sand	SC	M_S_SC_1	Ostracoda	2
El Medano	sand	SC	M_S_SC_1	Cerithiopsidae	1
El Medano	sand	SC	M_S_SC_1	Rissoidae	1
El Medano	sand	SC	M_S_SC_1	Eulimidae	1
El Medano	sand	SC	M_S_SC_1	Cardiidae	2
El Medano	sand	SC	M_S_SC_1	Tellinidae	1
El Medano	sand	OP	M_S_OP_1	Eunicidae	1
El Medano	sand	OP	M_S_OP_1	Orbiniidae	1
El Medano	sand	OP	M_S_OP_1	Trochidae	1
El Medano	sand	C	M_S_C_1	Apseudidae	1
El Medano	sand	C	M_S_C_1	Ostracoda	12
El Medano	sand	C	M_S_C_1	Maldanidae	1
El Medano	sand	SC	M_S_SC_3	Ostracoda	3
El Medano	sand	SC	M_S_SC_3	Paraonidae	1
El Medano	sand	SC	M_S_SC_3	Cerithiopsidae	2
El Medano	sand	SC	M_S_SC_3	Rissoidae	1
El Medano	sand	OP	M_S_OP_4	Gammaridea	1
El Medano	sand	OP	M_S_OP_4	Orbiniidae	2
El Medano	sand	OP	M_S_OP_4	Ostracoda	1
El Medano	sand	OP	M_S_OP_4	Cerithiopsidae	1
Abades	edge	SC	A_E_SC_3	Apseudidae	107
Abades	edge	SC	A_E_SC_3	Actiniaria	11
Abades	edge	SC	A_E_SC_3	Ostracoda	7
Abades	edge	SC	A_E_SC_3	Enchytraeidae	17
Abades	edge	SC	A_E_SC_3	Gammaridea	6
Abades	edge	SC	A_E_SC_3	Onuphidae	2
Abades	edge	SC	A_E_SC_3	Naididae	42
Abades	edge	SC	A_E_SC_3	Eunicidae	1
Abades	edge	SC	A_E_SC_3	Capitellidae	1
Abades	edge	SC	A_E_SC_3	Cardiidae	1
Abades	edge	SC	A_E_SC_3	Solemyidae	1
Abades	edge	SC	A_E_SC_3	Cerithiopsidae	1
Abades	edge	SC	A_E_SC_3	Nassariidae	1
Abades	edge	SC	A_E_SC_3	Cylichnidae	1
Abades	edge	SC	A_E_SC_3	Tellinidae	3
Abades	sand	OP	A_S_OP_1	Apseudidae	16
Abades	sand	OP	A_S_OP_1	Actiniaria	4
Abades	sand	OP	A_S_OP_1	Onuphidae	6
Abades	sand	OP	A_S_OP_1	Naididae	34
Abades	sand	OP	A_S_OP_1	Syllidae	11
Abades	sand	OP	A_S_OP_1	Nematoda	4
Abades	sand	OP	A_S_OP_1	Enchytraeidae	7
Abades	sand	OP	A_S_OP_1	Gammaridea	2
Abades	sand	OP	A_S_OP_1	Eunicidae	1
Abades	sand	OP	A_S_OP_1	Cerithiopsidae	2
Abades	sand	OP	A_S_OP_1	Nassariidae	3
Abades	sand	OP	A_S_OP_1	Tellinidae	1
Abades	edge	OP	A_E_OP_2	Onuphidae	7
Abades	edge	OP	A_E_OP_2	Actiniaria	18
Abades	edge	OP	A_E_OP_2	Apseudidae	72
Abades	edge	OP	A_E_OP_2	Talitridae	1
Abades	edge	OP	A_E_OP_2	Leptocheliidae	1
Abades	edge	OP	A_E_OP_2	Ostracoda	1
Abades	edge	OP	A_E_OP_2	Enchytraeidae	27
Abades	edge	OP	A_E_OP_2	Gammaridea	2
Abades	edge	OP	A_E_OP_2	Nematoda	14
Abades	edge	OP	A_E_OP_2	Syllidae	15
Abades	edge	OP	A_E_OP_2	Naididae	42
Abades	edge	OP	A_E_OP_2	Eunicidae	1
Abades	edge	OP	A_E_OP_2	Nereididae	1
Abades	edge	OP	A_E_OP_2	Tellinidae	4
Abades	edge	OP	A_E_OP_2	Cardiidae	2
Abades	edge	OP	A_E_OP_2	Rissoidae	1
Abades	edge	SC	A_E_SC_3.1	Nereididae	2
Abades	edge	SC	A_E_SC_3.1	Actiniaria	2
Abades	edge	SC	A_E_SC_3.1	Apseudidae	18
Abades	edge	SC	A_E_SC_3.1	Onuphidae	1
Abades	edge	SC	A_E_SC_3.1	Naididae	25
Abades	edge	SC	A_E_SC_3.1	Enchytraeidae	8
Abades	edge	SC	A_E_SC_3.1	Gammaridea	3
Abades	edge	SC	A_E_SC_3.1	Nematoda	2
Abades	edge	SC	A_E_SC_3.1	Cirolanidae	1
Abades	edge	SC	A_E_SC_3.1	Eunicidae	2
Abades	edge	SC	A_E_SC_3.1	Naticidae	1
Abades	edge	SC	A_E_SC_3.1	Nassariidae	1
Abades	edge	SC	A_E_SC_3.1	Cerithiopsidae	3
Abades	edge	SC	A_E_SC_3.1	Tellinidae	3
Abades	edge	SC	A_E_SC_3.1	Cylichnidae	1
Abades	edge	SC	A_E_SC_3.1	Rissoidae	1
El Medano	sand	SC	M_S_SC_4	Onuphidae	1
El Medano	sand	SC	M_S_SC_4	Enchytraeidae	1
El Medano	sand	SC	M_S_SC_4	Nematoda	4
El Medano	sand	SC	M_S_SC_4	Ostracoda	3
El Medano	sand	SC	M_S_SC_4	Naididae	2
El Medano	sand	SC	M_S_SC_4	Gammaridea	1
El Medano	sand	SC	M_S_SC_4	Cerithiopsidae	2
El Medano	sand	OP	M_S_OP_5.2	Onuphidae	1
El Medano	sand	OP	M_S_OP_5.2	Enchytraeidae	3
El Medano	sand	OP	M_S_OP_5.2	Ostracoda	1
El Medano	sand	OP	M_S_OP_5.2	Naididae	1
El Medano	sand	OP	M_S_OP_5.2	Nematoda	2
El Medano	sand	OP	M_S_OP_5.2	Cerithiopsidae	1
El Medano	middle	OP	M_M_OP_2.1	Ostracoda	16
El Medano	middle	OP	M_M_OP_2.1	Onuphidae	14
El Medano	middle	OP	M_M_OP_2.1	Actiniaria	2
El Medano	middle	OP	M_M_OP_2.1	Eunicidae	3
El Medano	middle	OP	M_M_OP_2.1	Enchytraeidae	15
El Medano	middle	OP	M_M_OP_2.1	Anarthruridae	3
El Medano	middle	OP	M_M_OP_2.1	Naididae	15
El Medano	middle	OP	M_M_OP_2.1	Nematoda	3
El Medano	middle	OP	M_M_OP_2.1	Trochidae	1
El Medano	middle	OP	M_M_OP_2.1	Cylichnidae	1
El Medano	edge	SC	M_E_SC_3	Onuphidae	27
El Medano	edge	SC	M_E_SC_3	Apseudidae	5
El Medano	edge	SC	M_E_SC_3	Eunicidae	1
El Medano	edge	SC	M_E_SC_3	Ostracoda	28
El Medano	edge	SC	M_E_SC_3	Maldanidae	5
El Medano	edge	SC	M_E_SC_3	Enchytraeidae	10
El Medano	edge	SC	M_E_SC_3	Nereididae	6
El Medano	edge	SC	M_E_SC_3	Actiniaria	5
El Medano	edge	SC	M_E_SC_3	Majidae	2
El Medano	edge	SC	M_E_SC_3	Mysidae	3
El Medano	edge	SC	M_E_SC_3	Bopyridae	1
El Medano	edge	SC	M_E_SC_3	Anarthruridae	4
El Medano	edge	SC	M_E_SC_3	Gammaridea	6
El Medano	edge	SC	M_E_SC_3	Naididae	1
El Medano	edge	SC	M_E_SC_3	Naticidae	1
El Medano	edge	SC	M_E_SC_3	Trochidae	1
El Medano	middle	SC	M_M_SC_5.1	Hadziida	2
El Medano	middle	SC	M_M_SC_5.1	Syllidae	1
El Medano	middle	SC	M_M_SC_5.1	Onuphidae	3
El Medano	middle	SC	M_M_SC_5.1	Sipuncula	1
El Medano	middle	SC	M_M_SC_5.1	Naididae	24
El Medano	middle	SC	M_M_SC_5.1	Enchytraeidae	15
El Medano	middle	SC	M_M_SC_5.1	Ostracoda	2
El Medano	middle	SC	M_M_SC_5.1	Nematoda	2
El Medano	middle	SC	M_M_SC_5.1	Maldanidae	2
El Medano	middle	SC	M_M_SC_5.1	Trochidae	1
El Medano	middle	SC	M_M_SC_5.1	Epitoniidae	1
El Medano	middle	SC	M_M_SC_5.1	Naticidae	1
Abades	edge	C	A_E_C_2.1	Enchytraeidae	32
Abades	edge	C	A_E_C_2.1	Naididae	89
Abades	edge	C	A_E_C_2.1	Ostracoda	2
Abades	edge	C	A_E_C_2.1	Actiniaria	8
Abades	edge	C	A_E_C_2.1	Nereididae	3
Abades	edge	C	A_E_C_2.1	Onuphidae	9
Abades	edge	C	A_E_C_2.1	Capitellidae	1
Abades	edge	C	A_E_C_2.1	Majidae	1
Abades	edge	C	A_E_C_2.1	Apseudidae	2
Abades	edge	C	A_E_C_2.1	Solemyidae	3
Abades	edge	C	A_E_C_2.1	Cerithiopsidae	1
Abades	edge	C	A_E_C_2.1	Tellinidae	1
Abades	middle	C	A_M_C_3.2	Ostracoda	3
Abades	middle	C	A_M_C_3.2	Enchytraeidae	8
Abades	middle	C	A_M_C_3.2	Leptocheliidae	1
Abades	middle	C	A_M_C_3.2	Actiniaria	1
Abades	middle	C	A_M_C_3.2	Naididae	3
Abades	middle	C	A_M_C_3.2	Mysidae	1
Abades	middle	C	A_M_C_3.2	Solemyidae	2
Abades	middle	C	A_M_C_3.2	Tellinidae	1
Abades	middle	C	A_M_C_3.2	Nassariidae	1
Abades	middle	SC	A_M_SC_1.2	Onuphidae	1
Abades	middle	SC	A_M_SC_1.2	Sipuncula	1
Abades	middle	SC	A_M_SC_1.2	Apseudidae	7
Abades	middle	SC	A_M_SC_1.2	Actiniaria	2
Abades	middle	SC	A_M_SC_1.2	Naididae	8
Abades	middle	SC	A_M_SC_1.2	Ostracoda	1
Abades	middle	SC	A_M_SC_1.2	Enchytraeidae	1
Abades	middle	SC	A_M_SC_1.2	Cerithiopsidae	3
Abades	middle	SC	A_M_SC_1.2	Nassariidae	1
Abades	middle	SC	A_M_SC_1.2	Cardiidae	1
El Medano	edge	OP	M_E_OP_1.1	Onuphidae	41
El Medano	edge	OP	M_E_OP_1.1	Actiniaria	16
El Medano	edge	OP	M_E_OP_1.1	Ostracoda	10
El Medano	edge	OP	M_E_OP_1.1	Apseudidae	8
El Medano	edge	OP	M_E_OP_1.1	Mysidae	1
El Medano	edge	OP	M_E_OP_1.1	Anarthruridae	5
El Medano	edge	OP	M_E_OP_1.1	Anthuridae	1
El Medano	edge	OP	M_E_OP_1.1	Gammaridea	2
El Medano	edge	OP	M_E_OP_1.1	Sabellidae	1
