site	habitat	treatment	sediment depth, cm	 totalOM 
Abades	edge	baseline	1	 3.84    
Abades	edge	baseline	1	 5.98    
Abades	edge	baseline	1	 3.65    
Abades	edge	baseline	5	 2.82    
Abades	edge	baseline	5	 4.35    
Abades	edge	baseline	5	 4.29    
Abades	edge	baseline	10	 4.02    
Abades	edge	baseline	10	 3.98    
Abades	edge	baseline	10	 2.57    
Abades	edge	C	1	 5.94    
Abades	edge	C	1	 4.74    
Abades	edge	C	1	 5.41    
Abades	edge	C	1	 5.30    
Abades	edge	C	5	 4.17    
Abades	edge	C	5	 3.44    
Abades	edge	C	5	 3.45    
Abades	edge	C	5	 4.61    
Abades	edge	C	5	 4.21    
Abades	edge	C	10	 3.21    
Abades	edge	C	10	 3.48    
Abades	edge	C	10	 3.88    
Abades	edge	C	10	 5.02    
Abades	edge	C	10	 4.99    
Abades	edge	OP	1	 4.49    
Abades	edge	OP	1	 7.17    
Abades	edge	OP	1	 5.48    
Abades	edge	OP	1	 8.23    
Abades	edge	OP	1	 5.99    
Abades	edge	OP	5	 3.34    
Abades	edge	OP	5	 5.71    
Abades	edge	OP	5	 4.74    
Abades	edge	OP	5	 4.12    
Abades	edge	OP	5	 6.91    
Abades	edge	OP	5	 7.34    
Abades	edge	OP	10	 3.73    
Abades	edge	OP	10	 3.98    
Abades	edge	OP	10	 2.69    
Abades	edge	OP	10	 5.75    
Abades	edge	OP	10	 6.41    
Abades	edge	SC	1	 3.89    
Abades	edge	SC	1	 6.43    
Abades	edge	SC	1	 3.11    
Abades	edge	SC	1	 4.55    
Abades	edge	SC	5	 2.96    
Abades	edge	SC	5	 4.11    
Abades	edge	SC	5	 4.21    
Abades	edge	SC	5	 6.60    
Abades	edge	SC	10	 4.47    
Abades	edge	SC	10	 7.26    
Abades	middle	baseline	1	 3.90    
Abades	middle	baseline	1	 3.67    
Abades	middle	baseline	1	 3.22    
Abades	middle	baseline	5	 3.27    
Abades	middle	baseline	5	 4.17    
Abades	middle	baseline	5	 3.63    
Abades	middle	baseline	10	 3.83    
Abades	middle	baseline	10	 5.56    
Abades	middle	baseline	10	 4.47    
Abades	middle	C	1	 2.31    
Abades	middle	C	1	 3.37    
Abades	middle	C	1	 3.81    
Abades	middle	C	1	 3.03    
Abades	middle	C	1	 2.33    
Abades	middle	C	5	 3.20    
Abades	middle	C	5	 2.62    
Abades	middle	C	5	 3.42    
Abades	middle	C	5	 2.94    
Abades	middle	C	5	 3.03    
Abades	middle	C	10	 4.77    
Abades	middle	C	10	 2.92    
Abades	middle	C	10	 4.44    
Abades	middle	C	10	 2.78    
Abades	middle	C	10	 2.27    
Abades	middle	OP	1	 3.85    
Abades	middle	OP	1	 3.10    
Abades	middle	OP	1	 4.11    
Abades	middle	OP	1	 4.68    
Abades	middle	OP	5	 3.18    
Abades	middle	OP	5	 3.15    
Abades	middle	OP	5	 4.02    
Abades	middle	OP	5	 3.06    
Abades	middle	OP	10	 4.01    
Abades	middle	OP	10	 3.53    
Abades	middle	OP	10	 3.78    
Abades	middle	OP	10	 2.02    
Abades	middle	SC	1	 3.64    
Abades	middle	SC	1	 2.33    
Abades	middle	SC	1	 3.03    
Abades	middle	SC	1	 2.88    
Abades	middle	SC	1	 3.18    
Abades	middle	SC	5	 3.33    
Abades	middle	SC	5	 3.60    
Abades	middle	SC	5	 3.97    
Abades	middle	SC	5	 3.75    
Abades	middle	SC	5	 2.34    
Abades	middle	SC	10	 2.70    
Abades	middle	SC	10	 2.59    
Abades	middle	SC	10	 4.26    
Abades	middle	SC	10	 3.98    
Abades	middle	SC	10	 3.55    
Abades	sand	baseline	1	 4.54    
Abades	sand	baseline	1	 4.14    
Abades	sand	baseline	1	 3.92    
Abades	sand	baseline	5	 4.72    
Abades	sand	baseline	5	 4.54    
Abades	sand	baseline	5	 3.67    
