date	tide	site	habitat	camera	species	trophic	counts
30/04/2021	low	Abades	edge	A_E_cam1.1	Bothus podas	carnivore	2
30/04/2021	low	Abades	edge	A_E_cam1.1	Sparisoma cretense	herbivore	1
30/04/2021	low	Abades	edge	A_E_cam1.1	Sphoeroides marmoratus	invertivore	1
10/06/2021	high	Abades	edge	A_E_cam1.2	Bothus podas	carnivore	2
10/06/2021	high	Abades	edge	A_E_cam1.2	Canthigaster capistrata	invertivore	2
10/06/2021	high	Abades	edge	A_E_cam1.2	Sphoeroides marmoratus	invertivore	5
10/06/2021	high	Abades	edge	A_E_cam1.2	Xyruchtys novacula	invertivore	1
30/10/2021	high	Abades	edge	A_E_cam1.3	Canthigaster capistrata	invertivore	3
30/10/2021	high	Abades	edge	A_E_cam1.3	Sphoeroides marmoratus	invertivore	4
30/04/2021	low	Abades	edge	A_E_cam2.1	Pagellus erythrinus	invertivore	1
30/04/2021	low	Abades	edge	A_E_cam2.1	Sphoeroides marmoratus	invertivore	1
10/06/2021	high	Abades	edge	A_E_cam2.2	Bothus podas	carnivore	3
10/06/2021	high	Abades	edge	A_E_cam2.2	Sparisoma cretense	herbivore	18
10/06/2021	high	Abades	edge	A_E_cam2.2	Canthigaster capistrata	invertivore	3
10/06/2021	high	Abades	edge	A_E_cam2.2	Sphoeroides marmoratus	invertivore	4
10/06/2021	high	Abades	edge	A_E_cam2.2	Diplodus sargus cadenati	omnivore	1
30/10/2021	high	Abades	edge	A_E_cam2.3	Sepia oficinalis	carnivore	1
30/10/2021	high	Abades	edge	A_E_cam2.3	Sparisoma cretense	herbivore	4
30/10/2021	high	Abades	edge	A_E_cam2.3	Cryptosoma cristata	omnivore	1
30/04/2021	low	Abades	edge	A_E_cam3.1	Sparisoma cretense	herbivore	0
10/06/2021	high	Abades	edge	A_E_cam3.2	Mullus surmuletus	carnivore	3
10/06/2021	high	Abades	edge	A_E_cam3.2	Sparisoma cretense	herbivore	5
10/06/2021	high	Abades	edge	A_E_cam3.2	Sphoeroides marmoratus	invertivore	3
